designation,l,b,parallax,phot_g_mean_mag,distance,Absolute_Mag,SIMBAD_ID,Spectral_Type,X,Y,Z,star_name
,146.5686595,-5.862434653,6.44,,155.2795031,,* alf Per,F5Ib,-128.9102403,85.1018497,-15.86030261,Mirfak (Alpha Persei)
,160.867976,47.69781229,6.41,,156.0062402,,* phi UMa,A3IV,-99.19905409,34.41285754,115.3830573,Phi Ursae Majoris
Gaia DR2 4082115215097592704,15.8857341,-13.2936986,6.4,2.6363,156.25,,* pi. Sgr,F2II-III,146.2557822,41.62268761,-35.92854772,Albaldah (Pi Sagittarii A)
,157.533258,-28.4669882,6.05,,165.2892562,,* 52 Ari,B7Vn,-134.2760565,55.52767079,-78.78551038,52 Arietis
Gaia DR1 1083911928599887488,156.5871261,33.69390057,5.9995,6.4334,166.6805567,,*  56 Cam,A7Vm,-127.262219,55.1052327,92.46701534,56 Camelopardalis A
,156.5871261,33.69390057,5.9995,,166.6805567,,*  56 Cam B,,-127.262219,55.1052327,92.46701534,56 Camelopardalis B
,265.9349877,2.82111751,5.99,,166.9449082,,* lam Vel,K4Ib,-11.82010537,-166.3231003,8.216677216,Suhail (Lambda Velorum)
,351.9471374,15.0643217,5.89,,169.7792869,,* alf Sco, M1.5Iab+B2Vn,162.3281446,-22.9664792,44.12618925,Antares A (Alpha Scorpii A)
,351.94738,15.06582,5.89,,169.7792869,,* alf Sco B,B2.5V,162.3270992,-22.96563023,44.13047644,Antares B (Alpha Scorpii B)
,351.7443622,-2.21436679,5.71,,175.1313485,,* lam Sco,B2IV+DA7.9,173.1870859,-25.12833217,-6.76678999,Shaula (Lambda Scorpii)
,351.2739547,-1.844571008,5.66,,176.6784452,,* ups Sco,B2IV,174.5429057,-26.79002434,-5.686974644,Lesath (Upsilon Scorpii)
Gaia DR2 3396380255582857728,190.0929164,-7.313467209,5.13,4.6906,194.9317739,,* 126 Tau,B3IV,-190.3538596,-33.88290669,-24.81437564,126 Tauri
Gaia DR2 1753792931170644352,54.65784241,-16.21320804,5.001,6.1563,199.960008,,*   1 Del A,,111.0682505,156.6228316,-55.83132757,1 Delphini A
Gaia DR2 1765433632573306496,65.57098405,-31.45753564,4.73,1.7076,211.4164905,,* eps Peg,K2Ib-II,74.58407385,164.1985949,-110.3311825,Enif (Epsilon Pegasi)
Gaia DR2 1635100685312454144,95.57222941,38.15516621,4.5535,4.465789,219.611288,,* g Dra,K0IIICN-0.5CH-2Ca1,-16.768216,171.873233,135.6743769,g Draconis
,126.1122235,-15.51837369,4.55,,219.7802198,,* phi And A,,-124.8094748,171.0798329,-58.80162213,Phi Andromedae A
,126.1123179,-15.51843416,4.55,,219.7802198,,* phi And B,,-124.8097201,171.0795772,-58.80184563,Phi Andromedae B
Gaia DR2 3276975216951401216,182.0709601,-34.87494491,4.482,6.1716,223.1146809,,*  31 Tau,B3.5V+,-182.9241718,-6.61468831,-127.5741123,31 Tauri
,241.9382104,28.63170052,4.26,,234.741784,,*  29 Hya A,,-96.92468529,-181.8155292,112.4829938,29 Hydrae A
,241.9381432,28.63177987,4.26,,234.741784,,*  29 Hya B,,-96.92482525,-181.815278,112.4832792,29 Hydrae B
Gaia DR1 2046564629647401600,67.97253018,7.439185443,3.79,4.6683,263.8522427,,*  8 Cyg,B3IV,98.12512277,242.5333535,34.1619486,8 Cygni
,209.2411851,-25.24534825,3.78,,264.5502646,,* bet Ori,B8Ia,-208.7914555,-116.8866401,-112.8294464,Rigel (Beta Orionis)
Gaia DR2 6161403234933132032,311.2200858,22.8261934,3.6,3.3537,277.7777778,,* d Cen,G8II/III,168.7077393,-192.5770388,107.7602739,d Centauri
Gaia DR2 5922299343254265088,334.6447107,-11.47857356,2.93,3.1639,341.2969283,,* gam Ara,B1Ib,302.2510621,-143.2304227,-67.91858906,Gamma Arae
,262.8025556,-7.68581861,2.92,,342.4657534,,* gam02 Vel,WC8+O7.5III-V,-42.52172157,-336.7148671,-45.80167847,Regor (Gamma-2 Velorum)
Gaia DR2 6863409385992156800,30.93999052,-30.49583194,2.87,5.2188,348.4320557,,* tau Cap,B7III,257.5109382,154.3613316,-176.8207949,Tau-2 Capricorni
Gaia DR1 5305373436309149952,280.020756,-5.426700469,2.46,3.9648,406.504065,,* h Car,B5II,70.41668023,-398.5086006,-38.44400244,h Carinae
Gaia DR2 6098143932950518528,321.4096051,12.90437453,2.39,5.1057,418.4100418,,* a Lup,G8III,318.7801009,-254.3913266,93.44122943,a Lupis
,84.28473664,1.99754611,2.31,,432.9004329,,* alf Cyg,A2Ia,43.08411658,430.486761,15.08947805,Deneb (Alpha Cygni)
Gaia DR2 5249119024113010688,285.0384475,-8.81967298,2.27,2.7888,440.5286344,,* ups Car,A9,112.9511737,-420.4108734,-67.54411615,Upsilon Carinae
Gaia DR2 5515464136727687296,265.1428603,-5.280716611,2.1039,5.4519,475.3077618,,*  33 Vel A,B1.5V,-40.07424821,-471.5908006,-43.74516968,33 Velorum A
,238.4174677,-8.266554736,2.03,,492.6108374,,* del CMa,F8Ia,-255.3126312,-415.288395,-70.82687713,Wezen (Delta Canis Majoris)
Gaia DR2 5515197573870551680,264.9775627,-6.49696556,1.9,5.2385,526.3157895,,* B Vel,B2III,-45.78085159,-520.927894,-59.55294373,B Velorum
,205.2120715,-17.24172893,1.65,,606.0606061,,* eps Ori,B0Ia,-523.6854011,-246.562423,-179.6386107,Alnilam (Epsilon Orionis)
Gaia DR2 2971266110610441856,220.9471265,-25.14135151,1.47,2.3895,680.2721088,,* alf Lep,F0Ib,-465.1414887,-403.5883314,-289.0155642,Arneb (Alpha Leporis)
