designation,l,b,parallax,phot_g_mean_mag,SIMBAD_ID,Spectral_Type,distance,adjusted_mag,X,Y,Z,interim_ID,Absolute_Mag,star_name
Gaia DR3 6877944105080250368,27.950238321763557,-22.5939201336722,40.200830459034655,17.440736770629883,2MASS J20045369-1416231,M7.5,24.875108015965427,12.884324108672125,20.28710273288154,10.764253555621368,-9.556950711484841,2MASS J20045369-1416231,,
Gaia DR3 6004484268320338944,327.90382520330934,13.704440523876695,40.2013787781809,15.066150665283203,PM J15066-4230,,24.87476873660724,10.509806200350308,20.472916505431932,-12.840731723245929,5.893167083405272,PM J15066-4230,,
Gaia DR3 5392573989820288768,277.7761281122612,15.152282587083693,40.20222069204258,15.799895286560059,SIPS J1039-4110,M6e,24.874247809846356,11.243655532593746,3.248549559948847,-23.788698575948594,6.501765139165192,SIPS J1039-4110,,
Gaia DR3 1563590579347125632,113.10933803176036,61.57901562974238,40.213284471127004,2.282646894454956,* zet01 UMa,A1.5Vas,24.86740422106024,-2.2722170329053073,-4.6452998499200655,10.885836521362377,21.87024337377411,zet01 UMa,,
Gaia DR3 2442074771933927424,93.44624474478901,-66.32944213442748,40.21597916881384,11.97323226928711,LP  644-34,M2.5,24.86573796456178,7.418703381384611,-0.6001002736690007,9.964973880794663,-22.773759016439765,LP 644-34,,
Gaia DR3 6833711267686909952,30.16707724638591,-39.33978999656202,40.21706035276602,13.395243644714355,UCAC4 357-196513,,24.865069481171634,8.840849177189188,16.62612083211488,9.663847960910026,-15.762418246190016,UCAC4 357-196513,,
Gaia DR3 1692740619598187904,126.6272097672524,40.729277254050146,40.22239023116112,15.399213790893555,LP   20-170,M2V,24.861774604963163,10.845481918446328,-11.240224302888025,15.11996836363718,16.2219527434698,LP 20-170,,
Gaia DR3 6148648281576023552,293.6030294149719,19.570177434322282,40.22553753499828,10.5365571975708,HD 104731B,,24.859829384006332,5.983216547610735,9.37880052627401,-21.464132700812282,8.327077824314353,HD 104731B,,
Gaia DR3 2525688198820543360,120.79674417687464,-67.99443693886438,40.22675666148508,11.16926383972168,LP  646-17,M2.5V,24.859075973118294,6.616074723847629,-4.769025767366972,8.001148856720246,-23.04802959994762,LP 646-17,,
Gaia DR3 1123855296251645824,138.9982142396729,35.35948921832733,40.23218569024275,17.590757369995117,2MASS J09111297+7401081,L0,24.855721429087644,13.038243011780965,-15.298125842913302,13.299295034644429,14.384122671761283,2MASS J09111297+7401081,,
